Standard Report - Imports,,,
Current date: 05/06/2023 6:25 PM (Eastern Daylight Time),,,
Country,Time,Customs Value (Gen) ($US),Customs Unit Value (Gen)
China,1992,"25,727,584,459",
China,1993,"31,539,928,813",
China,1994,"38,786,696,501",
China,1995,"45,543,198,817",
China,1996,"51,512,592,846",
China,1997,"62,557,601,236",
China,1998,"71,168,680,407",
China,1999,"81,788,219,263",
China,2000,"100,018,428,636",
China,2001,"102,278,336,502",
China,2002,"125,192,465,050",
China,2003,"152,436,096,898",
China,2004,"196,682,033,935",
China,2005,"243,470,104,795",
China,2006,"287,774,352,612",
China,2007,"321,442,866,934",
China,2008,"337,772,627,823",
China,2009,"296,373,883,488",
China,2010,"364,952,633,595",
China,2011,"399,371,232,631",
China,2012,"425,619,082,637",
China,2013,"440,430,019,592",
China,2014,"468,474,894,856",
China,2015,"483,201,655,364",
China,2016,"462,419,991,603",
China,2017,"505,165,098,057",
China,2018,"538,514,158,526",
China,2019,"449,110,676,707",
China,2020,"432,683,352,135",
China,2021,"504,935,376,166",
China,2022,"536,754,091,696",
China,2023 through March,"99,663,190,048",
