group,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
All Countries Total,48422,22799,19222,50663,45095,58772,84455,103398,174434,283376,314007,159461,74457,53146,135826,104773,237136,215952,306366,143604,198049,229862,199034,201393,201733,467625,459419,308957,203234,242519,95037,389194
Canada,1821,103,2002,3753,4584,4824,8590,8380,15959,26367,27258,9173,4611,7090,33164,14868,14770,43867,16794,30366,7357,18790,17326,14933,23479,58887,65140,71025,29132,38251,20011,38229
Europe[1],21549,12013,9181,39421,29168,39686,55989,75603,153111,223406,251041,140661,45368,22756,80730,77896,182575,124552,234331,99073,151055,128687,156994,114304,93768,338691,301860,173688,100014,103974,38539,267759
  Austria,227,-114,-9,32,121,248,175,80,208,429,-161,-189,1118,42,241,-1033,-179,590,370,(D),136,177,477,639,983,198,3496,2417,-2657,2878,982,570
  Belgium,115,-584,819,-443,818,-68,354,1714,3449,1371,3923,243,-2712,1770,1299,-1561,541,12835,-989,13262,5640,10284,12353,-8589,11410,-12327,186,-2201,2505,1201,578,2831
  Denmark,165,-428,446,654,357,650,-420,569,493,1314,-544,-880,3035,570,158,1009,893,184,548,1171,1472,462,248,2101,3282,1013,3986,271,1867,3252,7232,4436
  Finland,386,27,324,-30,535,619,-47,1205,255,1314,4407,-1030,-598,-801,17,416,1017,-1566,6868,(D),-179,660,-238,554,-1455,655,-73,666,1457,-727,-338,1999
  France,5987,4407,178,6641,4394,2725,7244,10951,11368,29834,51001,14546,4624,4526,10706,10053,29078,5808,12950,25369,8865,795,25433,-7021,10197,33472,28553,15406,992,13775,13435,8009
  Germany,585,2160,1307,7802,6116,7908,19616,11110,42986,23478,14054,40206,1990,12280,7079,12101,39540,-12690,17122,12320,18760,16396,6772,12427,37121,25353,15637,18291,22358,29216,23792,52308
  Greece,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
  Ireland,-138,20,300,2983,1430,1657,2544,4795,2386,287,5060,1882,1990,-4754,-5241,1876,6538,4974,-341,-1348,5417,-1696,-936,9554,7114,14892,8645,31039,67432,-4022,-1115,41375
  Italy,429,-70,342,475,143,197,333,-262,1024,862,1978,498,357,-215,1198,636,3237,5485,5871,-2462,1304,3334,1794,1887,4071,6924,737,1206,1489,1517,2615,2527
  Liechtenstein,-8,-58,-5,-28,-22,6,-3,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
  Luxembourg,1851,-1359,36,145,1256,3429,-2230,5393,13819,6887,30864,-21498,-1108,14344,7301,4235,17923,16051,6802,17349,29461,11989,10483,34988,27943,172740,49203,29121,-121699,2883,-6133,4444
  Netherlands,7163,3631,2627,4063,-2006,-1526,12262,12344,6533,41689,33517,24036,4337,6365,8191,-1871,25543,25973,75327,5018,20772,8457,38618,4606,29685,33318,43143,24644,78306,19935,18014,42925
  Norway,288,-33,293,-110,610,407,306,822,687,-533,-945,-99,1371,389,-1261,5265,707,-2707,4545,577,885,7743,2643,1915,3549,8130,-1097,1664,4599,839,-1614,1810
  Spain,188,403,-222,175,435,789,60,330,361,309,6390,-170,41,672,469,2305,7164,15286,9330,4569,4410,5923,1218,1594,4671,4956,2546,3408,6319,3108,2482,-4109
  Sweden,443,-50,1891,226,942,2231,-1243,2540,4683,3892,3546,-368,-19,-14,2452,-1211,-2406,20318,-7662,1381,10903,2779,889,4611,4134,3685,4610,399,1819,5229,4715,11196
  Switzerland,-633,502,2385,2881,3954,4066,2438,8970,4509,2503,12124,61789,9751,-3127,12571,6551,1177,-4279,45660,10710,41406,19894,16110,18420,31139,-5732,46595,-2922,28188,9975,6259,6544
  United Kingdom,4519,3450,-1598,14109,10063,16255,14404,15010,60335,108566,82652,2819,21267,-4385,28137,36132,38547,25434,52609,18373,30069,46316,39640,32023,-94851,50294,88081,47838,-2796,10360,-30935,89791
"  Denmark, Greece, and Ireland",n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
  Other,-18,110,67,-155,19,94,195,33,14,1203,3175,18875,-73,-4907,7412,2992,13254,12855,5323,-6957,-28267,-4827,1489,4596,14777,1122,7612,2439,9835,4555,-1429,1103
